Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2024,"LAA",562,0.076512455,0.209964412,0.364406779,0.242063492,0.310714285,0.365079365,0.67579365,0.123015873,0.289124668,59.80267585216001,-6.235296911020718,0.2972690651066414,90.06391247315263
2024,"BAL",765,0.071895424,0.230065359,0.3125,0.25,0.314136125,0.428160919,0.742297044,0.178160919,0.295546558,97.03816171926073,7.14661516439725,0.3221994136139106,111.28834181364664
2024,"BOS",919,0.089227421,0.274211099,0.325396825,0.248166259,0.321350762,0.43398533,0.755336092,0.185819071,0.311688311,118.9051996745588,10.91783851910845,0.3252075872661775,105.34725448304998
2024,"CHW",567,0.074074074,0.255731922,0.289655172,0.229729729,0.290035587,0.341698841,0.631734428,0.111969112,0.296398891,51.61714654869177,-15.00835266255997,0.27857486754655836,77.31223127198459
2024,"CLE",743,0.080753701,0.197846567,0.408163265,0.241017964,0.31081081,0.408682634,0.719493444,0.16766467,0.269617706,88.96884272143885,1.6624125380878123,0.31336641247033425,104.06177117938657
2024,"DET",474,0.08649789,0.221518987,0.39047619,0.245862884,0.315677966,0.401891252,0.717569218,0.156028368,0.301282051,55.80871351662323,0.11120623949215935,0.31191229060956627,101.80713553988267
2024,"KCR",566,0.060070671,0.160777385,0.373626373,0.253875968,0.303191489,0.389534883,0.692726372,0.135658915,0.282660332,61.24847641292034,-5.259517508717204,0.29868966585387097,88.22158784624382
2024,"MIN",737,0.073270013,0.204884667,0.357615894,0.263951734,0.325170068,0.4479638,0.773133868,0.184012066,0.298780487,99.50215428998298,12.900755844317123,0.33173489048771265,117.08740709252007
2024,"NYY",808,0.128712871,0.211633663,0.608187134,0.229317851,0.333746898,0.404934687,0.738681585,0.175616836,0.25609756,103.58234336260224,8.63806935432816,0.3228843113034964,110.37346869318174
2024,"OAK",479,0.118997912,0.217118997,0.548076923,0.270731707,0.363445378,0.480487804,0.843933182,0.209756097,0.311418685,76.58642100743093,20.301387282228823,0.3642514006715072,141.2148108278284
2024,"SEA",768,0.098958333,0.276041666,0.358490566,0.196454948,0.286831812,0.339734121,0.626565933,0.143279173,0.245495495,70.82646988215072,-19.417592541555358,0.2794105420691537,85.40017267637052
2024,"TBR",654,0.081039755,0.243119266,0.333333333,0.255136986,0.325153374,0.44349315,0.768646524,0.188356164,0.314634146,87.26745267011184,10.418993262424662,0.3309278316416983,119.17765130099588
2024,"TEX",621,0.109500805,0.22705314,0.482269503,0.255555555,0.341423948,0.42037037,0.761794318,0.164814815,0.303664921,83.43382112557612,10.463036275157561,0.3313069412490832,115.70481786784138
2024,"TOR",584,0.089041095,0.214041095,0.416,0.225621414,0.29845626,0.369024856,0.667481116,0.143403442,0.269922879,60.191606749487114,-8.431482385206053,0.2922896278089172,90.22320627763149
2024,"ARI",902,0.083148558,0.211751662,0.392670157,0.2825,0.349775784,0.4375,0.787275784,0.155,0.34179357,127.73673889618821,21.746967664179287,0.3404873809346227,118.77923795455968
2024,"ATL",597,0.092127303,0.264656616,0.348101265,0.25,0.331658291,0.450757575,0.782415866,0.200757575,0.307471264,83.40741654236977,13.256758642692006,0.3384378388148396,116.492206758039
2024,"CHC",563,0.060390763,0.23268206,0.259541984,0.251937984,0.306595365,0.418604651,0.725200016,0.166666667,0.302702702,67.13913735635812,0.9836593035631847,0.31334602107728743,102.28849645502277
2024,"CIN",700,0.078571428,0.254285714,0.308988764,0.238853503,0.306034482,0.406050955,0.712085437,0.167197452,0.292343387,81.97828965701811,-0.2754130729223161,0.30990138079622664,93.7139960852469
2024,"COL",843,0.066429418,0.297746144,0.223107569,0.227864583,0.287752675,0.393229166,0.680981841,0.165364583,0.296969696,88.64581027034205,-10.41114887442903,0.2954807992629414,76.35910053189619
2024,"MIA",794,0.07556675,0.245591939,0.307692307,0.238161559,0.300380228,0.387186629,0.687566857,0.14902507,0.294466403,86.33240960039569,-6.966790353279586,0.30008831741241027,90.13173127500124
2024,"HOU",650,0.055384615,0.212307692,0.260869565,0.2680067,0.315301391,0.425460636,0.740762027,0.157453936,0.317673378,80.85722719984628,4.478788950615901,0.31919359587883767,109.33266904666793
2024,"LAD",622,0.094855305,0.202572347,0.468253968,0.254512635,0.332258064,0.429602888,0.761860952,0.175090253,0.292383292,82.62384583164459,9.535555691611826,0.33044460938348397,113.74130254814936
2024,"MIL",748,0.10828877,0.209893048,0.515923566,0.261796042,0.344504021,0.375951293,0.720455314,0.114155251,0.322448979,91.78663560872285,3.8926789773008212,0.3171156914653005,103.26107244164298
2024,"WSN",768,0.06640625,0.177083333,0.375,0.243867243,0.303267973,0.359307359,0.662575332,0.115440116,0.283393501,78.15333781030823,-12.090724613397828,0.29135471107133853,86.76732504444395
2024,"NYM",713,0.078541374,0.232819074,0.337349397,0.278816199,0.344101123,0.495327102,0.839428225,0.216510903,0.331111111,112.26877103567463,28.487499540749617,0.35999747511371444,137.3446519590607
2024,"PHI",763,0.087811271,0.201834862,0.435064935,0.275659824,0.344736842,0.461876832,0.806613674,0.186217008,0.317460317,112.51504868133708,22.858512705702026,0.347876904898937,123.8455442004876
2024,"PIT",595,0.065546218,0.255462184,0.256578947,0.260147601,0.315878378,0.409594095,0.725472473,0.149446494,0.328912466,72.15847903083758,2.2428317103882227,0.31597296651956197,100.83212244284903
2024,"STL",823,0.066828675,0.210206561,0.317919075,0.248670212,0.301587301,0.381648936,0.683236237,0.132978724,0.293805309,88.68747484447056,-8.019378508016551,0.29842226889543916,92.38894125406068
