Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2024,"LAA",2002,0.088911088,0.231268731,0.384449244,0.224617129,0.307769423,0.352240499,0.660009922,0.12762337,0.277165354,207.65628723353046,-27.589302574099133,0.2936366767199372,87.21614311337673
2024,"BAL",2044,0.084148727,0.209393346,0.401869158,0.265974877,0.332025502,0.473511742,0.805537244,0.207536865,0.298798798,297.86419687817164,57.68338490674559,0.34565341138886563,127.49044851087183
2024,"BOS",1784,0.077914798,0.230941704,0.33737864,0.29032258,0.351457399,0.490694789,0.842152188,0.200372209,0.351045296,281.679092098536,72.04965542680218,0.3603898939919901,129.71399305603776
2024,"CHW",1978,0.061678463,0.248230535,0.248472505,0.221069868,0.274291497,0.359170305,0.633461802,0.138100437,0.271251931,177.90918209860396,-54.51628075828481,0.27669432508413494,76.21216512937937
2024,"CLE",1773,0.072194021,0.195149464,0.369942196,0.233644859,0.29614949,0.383800623,0.679950113,0.150155764,0.264150943,186.37643134508758,-21.96044714089005,0.29552016998042563,91.52953329910748
2024,"DET",2085,0.066666666,0.240767386,0.27689243,0.225755995,0.281325012,0.385297184,0.666622196,0.159541189,0.268919911,209.22309483946782,-35.77543400614041,0.2895783410800987,86.53319188143684
2024,"KCR",1956,0.069018404,0.183026584,0.377094972,0.263483146,0.317737789,0.441011235,0.758749024,0.177528089,0.29321663,254.34896181605203,24.50861533067568,0.32624041720602304,106.93423119331153
2024,"MIN",1965,0.077862595,0.192875318,0.403693931,0.27283105,0.342172361,0.458904109,0.80107647,0.186073059,0.311413454,286.89664791484944,55.99875382294529,0.34607403657653113,126.45787889141057
2024,"NYY",1870,0.105347593,0.211229946,0.498734177,0.256582976,0.337446351,0.458665033,0.796111384,0.202082057,0.29054054,267.91169100957006,48.1767994310149,0.3421171352524182,123.29888493714185
2024,"OAK",2031,0.081240768,0.240275726,0.338114754,0.229803493,0.298816568,0.383187772,0.68200434,0.153384279,0.275968992,219.4962260480119,-19.157017158429557,0.29908232961063086,96.65683397277091
2024,"SEA",1822,0.09769484,0.272777167,0.358148893,0.217117684,0.31277533,0.376966645,0.689741975,0.159848961,0.277884615,205.67781171290687,-8.41682596416661,0.3049902010029851,102.98119768082829
2024,"TBR",1889,0.091053467,0.247750132,0.367521367,0.22096486,0.30243644,0.359737939,0.662174379,0.138773079,0.27497865,195.243827687088,-26.723664394136915,0.293270097873623,93.3932164736201
2024,"TEX",2011,0.071606166,0.211834908,0.338028169,0.229053318,0.289198606,0.361806311,0.651004917,0.132752993,0.267543859,194.8122971120004,-41.49084030215703,0.2850333975662426,83.2381240603618
2024,"TOR",2062,0.074684772,0.209505334,0.356481481,0.249323958,0.315175097,0.412114656,0.727289753,0.162790698,0.289665211,250.1205787839906,7.824671599508953,0.3154268091190152,105.7477805638135
2024,"ARI",1879,0.09473124,0.188398084,0.502824858,0.270006108,0.348338692,0.488698839,0.837037531,0.218692731,0.294599018,292.2686735515503,71.47623436646738,0.3579808165784675,130.432659453086
2024,"ATL",2038,0.074582924,0.249263984,0.299212598,0.231516459,0.292118226,0.41122504,0.703343266,0.179708581,0.271372549,228.65305615513427,-10.82272407860653,0.3042123607209969,93.14380646361286
2024,"CHC",1992,0.087349397,0.225401606,0.387527839,0.233445566,0.306955645,0.387766554,0.694722199,0.154320988,0.279377431,223.16291222978364,-10.907624681704,0.3041061797226318,96.10473636322388
2024,"CIN",1889,0.067760719,0.236633139,0.286353467,0.242123687,0.304716481,0.443990665,0.748707146,0.201866978,0.282157676,239.15628372237032,17.188791641145407,0.3220219108772379,101.55060395696444
2024,"COL",1788,0.077181208,0.256152125,0.301310043,0.246737103,0.308600337,0.415786202,0.724386539,0.169049099,0.304504504,212.5013531231829,2.4018952929921724,0.3123989434043005,87.70366439083404
2024,"MIA",1784,0.06221973,0.255605381,0.243421052,0.241252302,0.295146726,0.376304481,0.671451207,0.135052179,0.303775241,182.61086827517923,-27.018568396554617,0.29231868297840435,84.70710632163677
2024,"HOU",1911,0.070120355,0.200941915,0.348958333,0.261422787,0.321971683,0.426257952,0.748229635,0.164835165,0.299151888,244.12085841565406,19.568249962916685,0.3230731340854747,111.75631290684301
2024,"LAD",2033,0.097393015,0.227742252,0.427645788,0.248603351,0.32856438,0.440223463,0.768787843,0.191620112,0.291798107,273.57083911004224,34.68258532437245,0.3314217418949894,115.0562014345068
2024,"MIL",1852,0.096652267,0.238660907,0.404977375,0.244823386,0.32303523,0.397076735,0.720111965,0.152253349,0.301903114,225.08255462444265,7.462758258943162,0.3158462526871986,102.23744146268872
2024,"WSN",1859,0.077998924,0.18612157,0.419075144,0.258507462,0.322702702,0.404776119,0.727478821,0.146268657,0.299072642,228.33690599060495,9.894572597806064,0.31720054449911106,104.52272239515523
2024,"NYM",1974,0.091691995,0.222897669,0.411363636,0.252432741,0.330289193,0.439610761,0.769899954,0.18717802,0.296,268.92181990881244,36.96637821038046,0.33396290867022294,119.42432448676759
2024,"PHI",1831,0.073184052,0.226652102,0.322891566,0.247596153,0.310382513,0.406850961,0.717233474,0.159254808,0.295341098,215.82742729724282,0.675242013641514,0.311141270902887,98.87140284712804
2024,"PIT",1971,0.072552004,0.244038559,0.297297297,0.234636871,0.297613001,0.377094972,0.674707973,0.142458101,0.288082083,206.54149827533485,-25.061427554254532,0.29501830745896007,86.8417703544561
