Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2024,"LAA",482,0.076763485,0.22406639,0.342592592,0.244803695,0.309771309,0.364896073,0.674667382,0.120092378,0.3,51.2426828734709,-5.398095191256888,0.2964102663099766,90.45577368276223
2024,"BAL",532,0.086466165,0.240601503,0.359375,0.233193277,0.308851224,0.388655462,0.697506686,0.155462185,0.282282282,60.54097639844248,-1.9754010505931694,0.30524807920528046,100.72683268077148
2024,"BOS",675,0.081481481,0.263703703,0.308988764,0.247540983,0.314074074,0.449180327,0.763254401,0.201639344,0.298029556,88.96842859266782,9.647836904511685,0.3279436212920007,108.01817814781445
2024,"CHW",530,0.060377358,0.249056603,0.242424242,0.211812627,0.263257575,0.268839103,0.532096678,0.057026476,0.278089887,32.07470007344461,-30.206653400218716,0.239660799616214,51.763025694721094
2024,"CLE",558,0.075268817,0.188172043,0.4,0.232,0.3009009,0.404,0.7049009,0.172,0.251322751,63.76749586816412,-1.8041932607116011,0.30614326304164974,99.83948554379718
2024,"DET",403,0.099255583,0.300248138,0.330578512,0.218487394,0.29925187,0.364145658,0.663397528,0.145658264,0.298245614,40.792193497413514,-6.565137540107849,0.2910568839625308,88.630083838632
2024,"KCR",528,0.06060606,0.212121212,0.285714285,0.245322245,0.294676806,0.407484407,0.702161213,0.162162162,0.282548476,58.37502438789002,-3.671305110400985,0.3015856755371312,91.61149591076351
2024,"MIN",608,0.069078947,0.236842105,0.291666666,0.221223021,0.280065897,0.393884892,0.673950789,0.172661871,0.258227848,62.16391986648545,-9.283368646698149,0.29128876057538117,89.15754919190697
2024,"NYY",681,0.13215859,0.209985315,0.629370629,0.227430555,0.334315169,0.401041666,0.735356835,0.173611111,0.25181598,86.19540113329008,6.169737519017012,0.3201284174059258,109.49230321181605
2024,"OAK",494,0.085020242,0.236842105,0.358974358,0.233707865,0.302231237,0.397752808,0.699984045,0.164044943,0.279365079,55.30374763750524,-2.747174279456418,0.30325552030485503,100.54167918847946
2024,"SEA",636,0.108490566,0.261006289,0.41566265,0.195298372,0.296529968,0.334538878,0.631068846,0.139240506,0.241192411,61.138456515475184,-13.59916765292081,0.283639673655632,89.40639468027845
2024,"TBR",447,0.080536912,0.250559284,0.321428571,0.231920199,0.303370786,0.374064837,0.677435623,0.142144638,0.295373665,46.37955934436794,-6.148299151344328,0.29379104579036885,93.57949972419881
2024,"TEX",413,0.094430992,0.25181598,0.375,0.215258855,0.291262135,0.329700272,0.620962407,0.114441417,0.265625,36.623362326652725,-11.909088587730215,0.27494799611045095,76.81432943775539
2024,"TOR",548,0.08029197,0.242700729,0.330827067,0.220647773,0.291970802,0.360323886,0.652294688,0.139676113,0.277620396,53.22378504274979,-11.17278420926435,0.28382326160346605,85.4255943735878
2024,"ARI",726,0.073002754,0.190082644,0.384057971,0.292048929,0.351800554,0.466360856,0.81816141,0.174311927,0.333333333,110.35730780611308,25.04360474596293,0.3534867366706118,126.27020277492062
2024,"ATL",466,0.0944206,0.281115879,0.335877862,0.24213075,0.323275862,0.433414043,0.756689905,0.191283293,0.304182509,62.09450348418987,7.333917222440612,0.33004211994080707,110.68252848633927
2024,"CHC",483,0.051759834,0.198757763,0.260416666,0.285393258,0.324324324,0.438202247,0.762526571,0.152808989,0.330409356,63.23603369094707,6.477743638533131,0.3269369782634966,112.40175227645842
2024,"CIN",454,0.099118942,0.27092511,0.365853658,0.195488721,0.281596452,0.328320802,0.609917254,0.132832081,0.244360902,39.27581524654294,-14.074627162972433,0.27177834643257986,66.8582112381587
2024,"COL",587,0.0681431,0.301533219,0.2259887,0.217877094,0.276450511,0.329608938,0.606059449,0.111731844,0.300283286,48.049234486857436,-20.930302284916863,0.2658694180984235,55.9034987257569
2024,"MIA",722,0.07202216,0.25069252,0.287292817,0.222900763,0.283124128,0.361832061,0.644956189,0.138931298,0.276086956,68.43581372503436,-16.40784138437116,0.2823026062057005,77.53338418932299
2024,"HOU",548,0.0729927,0.222627737,0.327868852,0.264646464,0.327239488,0.416161616,0.743401104,0.151515152,0.316666666,69.89965138926597,5.503082137251821,0.32304747979575343,112.30248425179566
2024,"LAD",552,0.083333333,0.226449275,0.368,0.26060606,0.328493647,0.444444444,0.772938091,0.183838384,0.309859154,74.17750478816845,9.310887585409661,0.33196807343519585,114.67083621087015
